车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放.kg.,绿色出行减排.kg.
皖AT0565,04无排行无提醒,0,31,1770.01,3989.6,0
皖AT0658,04无排行无提醒,0,31,1165.16,2626.27,0
皖AT0616,04无排行无提醒,31,0,0,0,1972.22
皖AT0661,04无排行无提醒,31,0,0,0,2043.52
皖AT0666,04无排行无提醒,31,0,0,0,2310.74
皖AT0556,04无排行无提醒,0,0,0,0,0
皖AT0560,04无排行无提醒,31,0,0,0,4666.74
粤B3RC91,04无排行无提醒,31,0,0,0,259.47
粤B4C0S6,04无排行无提醒,31,0,0,0,583.11
粤STB959,04无排行无提醒,31,0,0,0,283.96
粤S09158,04无排行无提醒,31,0,0,0,309.69
粤B83CT2,04无排行无提醒,31,0,0,0,102.92
粤B0Y92H,04无排行无提醒,31,0,0,0,632.4
粤BP439V,04无排行无提醒,31,0,0,0,354.64
粤PR5795,04无排行无提醒,31,0,0,0,152.52
皖AT0565,04无排行无提醒,0,30,1755.32,3956.49,0
皖AT0540,04无排行无提醒,0,30,1619.02,3649.27,0
皖AT0623,04无排行无提醒,0,30,1227.74,2767.33,0
皖AT0658,04无排行无提醒,1,29,941.15,2121.35,73.15
皖AT0608,04无排行无提醒,0,30,1121.76,2528.45,0
皖AT0560,04无排行无提醒,30,0,0,0,4516.2
皖AT0616,04无排行无提醒,30,0,0,0,1908.6
皖AT0666,04无排行无提醒,30,0,0,0,2236.2
皖AT0556,04无排行无提醒,0,0,0,0,0
皖AT0661,04无排行无提醒,30,0,0,0,1977.6
粤B3RC91,04无排行无提醒,30,0,0,0,251.1
粤B4C0S6,04无排行无提醒,30,0,0,0,564.3
粤STB959,04无排行无提醒,30,0,0,0,274.8
粤S09158,04无排行无提醒,30,0,0,0,299.7
粤B83CT2,04无排行无提醒,30,0,0,0,99.6
粤B0Y92H,04无排行无提醒,30,0,0,0,612
粤BP439V,04无排行无提醒,30,0,0,0,343.2
粤PR5795,04无排行无提醒,30,0,0,0,147.6
